From Date,PM2.5,PM10,NO2,SO2
01/01/2018 00:00,50.61,107.62,90.86,15.86
02/01/2018 00:00,64.1,137.67,91.66,7.14
03/01/2018 00:00,71.73,140.72,74.53,12.45
04/01/2018 00:00,74.89,160.76,77.84,26.4
05/01/2018 00:00,73.61,157.86,90.99,26.48
06/01/2018 00:00,69.82,145.08,92.32,16.21
07/01/2018 00:00,68.94,128.23,75.2,12.06
08/01/2018 00:00,65.79,124.12,63.54,7.58
09/01/2018 00:00,77.17,158.85,79.03,7.22
10/01/2018 00:00,70.78,154.8,84.98,14.83
11/01/2018 00:00,77.91,165.07,89.94,33.86
12/01/2018 00:00,76.24,159.34,89.75,9.25
13/01/2018 00:00,69.57,158.14,89.81,8.45
14/01/2018 00:00,67.88,139.7,89.28,8.91
15/01/2018 00:00,62.4,103.6,73.72,3.33
16/01/2018 00:00,62.3,129.2,62.56,7.67
17/01/2018 00:00,65.02,122.41,67.03,10.38
18/01/2018 00:00,65.32,131.59,77.92,13.54
19/01/2018 00:00,64.18,139.84,89.03,23.51
20/01/2018 00:00,66.33,145.64,83.19,25.38
21/01/2018 00:00,69.89,131.75,86.8,12.25
22/01/2018 00:00,74.18,136.97,75.48,6.66
23/01/2018 00:00,54.74,96.9,65.53,3.82
24/01/2018 00:00,69.08,134.22,76.83,6.52
25/01/2018 00:00,70.28,157.79,88.51,13.69
26/01/2018 00:00,66.91,149.75,89.63,25.06
27/01/2018 00:00,72.74,158.87,81.86,14.65
28/01/2018 00:00,69.68,140.58,83.21,8.03
29/01/2018 00:00,67.42,132.02,68.42,6.25
30/01/2018 00:00,63.75,154.97,75.29,14.75
31/01/2018 00:00,55.31,141.43,73.22,20.48
01/02/2018 00:00,46.36,121.42,84.59,17.25
02/02/2018 00:00,42.6,104.55,80.79,9.6
03/02/2018 00:00,39.75,101.31,71.58,7.95
04/02/2018 00:00,39.53,100.79,58.85,6.44
05/02/2018 00:00,42.51,112.24,54.47,6.83
06/02/2018 00:00,45.48,107.92,71.94,5.88
07/02/2018 00:00,48.74,108.81,91.96,8.06
08/02/2018 00:00,50.02,108.78,65.87,11.44
09/02/2018 00:00,46.93,113.49,79.57,10.37
10/02/2018 00:00,48.86,111.16,75.96,10.8
11/02/2018 00:00,40.65,90.27,55.4,4.63
12/02/2018 00:00,47.11,87.72,26.85,4.84
13/02/2018 00:00,45.02,80.94,45.49,4.23
14/02/2018 00:00,51,96.6,56.53,8.87
15/02/2018 00:00,58.82,126.03,77.32,16.3
16/02/2018 00:00,59.9,128.43,80.06,24.16
17/02/2018 00:00,52,126.09,86.53,21.43
18/02/2018 00:00,47.42,116.9,75.24,8.37
19/02/2018 00:00,42.85,134.66,62.98,5.34
20/02/2018 00:00,44.03,86.9,55.54,4.75
21/02/2018 00:00,50.79,101.53,58.13,5.12
22/02/2018 00:00,54.82,114.12,63.82,5.58
23/02/2018 00:00,68.21,110.31,54.94,6.77
24/02/2018 00:00,49.78,104.41,58.88,6.35
25/02/2018 00:00,51.48,91.77,67.07,6.27
26/02/2018 00:00,74.91,98.3,66.57,6.81
27/02/2018 00:00,64.03,99.52,66.6,8.73
28/02/2018 00:00,58.86,130.78,79.98,8.07
01/03/2018 00:00,46.9,101.62,70.86,5.25
02/03/2018 00:00,42.16,90.39,66.78,5.39
03/03/2018 00:00,57.78,120.37,68.72,7.15
04/03/2018 00:00,45.91,87.19,54.85,3.65
05/03/2018 00:00,40.12,78.8,58.1,4.63
06/03/2018 00:00,44.89,91.32,44.79,5.17
07/03/2018 00:00,51.56,95.1,46.78,6.37
08/03/2018 00:00,52.71,108.6,52.96,4.96
09/03/2018 00:00,52.74,101.44,57.94,3.48
10/03/2018 00:00,62.33,112.88,57.96,3.05
11/03/2018 00:00,48.71,92.12,46.03,2.74
12/03/2018 00:00,34.3,72.47,51.7,2.65
13/03/2018 00:00,37.39,74.78,56.7,4.59
14/03/2018 00:00,40.71,77.92,49.12,3.92
15/03/2018 00:00,48.91,95.78,49.74,3.64
16/03/2018 00:00,64.74,147.21,68.17,7.32
17/03/2018 00:00,54.46,75.98,49.95,3.26
18/03/2018 00:00,None,68.38,43.45,2.39
19/03/2018 00:00,49.7,83.92,47.02,2.99
20/03/2018 00:00,48.08,85.05,55.69,2.83
21/03/2018 00:00,62.65,118.16,68.23,4.74
22/03/2018 00:00,54.07,146.23,79.99,6.26
23/03/2018 00:00,48.36,138.68,82.03,6.13
24/03/2018 00:00,55.26,143.81,82.98,5.48
25/03/2018 00:00,68.46,146.07,73.84,3.91
26/03/2018 00:00,62.67,122.8,54.41,3.23
27/03/2018 00:00,52.27,110.78,61.29,4.93
28/03/2018 00:00,53.71,107.99,62.33,3.24
29/03/2018 00:00,67.85,144.41,76.33,8.68
30/03/2018 00:00,53.89,110,62.52,4.7
31/03/2018 00:00,46.68,102.37,57.84,2.51
01/04/2018 00:00,42.73,81.55,35.67,3.19
02/04/2018 00:00,37.02,68.28,42.14,2.72
03/04/2018 00:00,45.28,85.03,47.71,3.17
04/04/2018 00:00,40.67,79.15,44.25,3.39
05/04/2018 00:00,39.12,72.49,39.85,2.8
06/04/2018 00:00,39.04,76.88,54.26,1.91
07/04/2018 00:00,46.55,83.45,68.51,5.52
08/04/2018 00:00,29.67,58.31,54.04,3.75
09/04/2018 00:00,54.33,119.17,70.15,5.04
10/04/2018 00:00,None,None,None,None
11/04/2018 00:00,32.47,73.74,37.8,5.72
12/04/2018 00:00,29.43,67.83,51.64,3.83
13/04/2018 00:00,22.23,54.42,43.65,2.96
14/04/2018 00:00,19.44,44.94,41.21,2.18
15/04/2018 00:00,29.1,56.62,44.95,2.35
16/04/2018 00:00,44.09,92.72,56.4,3.11
17/04/2018 00:00,31.75,95.71,47.86,2.63
18/04/2018 00:00,35.72,97.57,53.03,4.06
19/04/2018 00:00,46.38,125.82,58.9,4.19
20/04/2018 00:00,36.91,120.9,55.85,3.98
21/04/2018 00:00,55.21,149.25,73.28,7.06
22/04/2018 00:00,41.36,105.41,55.02,3.28
23/04/2018 00:00,31.1,68.74,40.32,3.57
24/04/2018 00:00,30.97,92.22,51.51,4.07
25/04/2018 00:00,32.9,73.78,42.32,2.63
26/04/2018 00:00,37.46,76.18,45.54,3.03
27/04/2018 00:00,39.62,97.16,48.43,3.55
28/04/2018 00:00,28.09,70.99,40.89,2.58
29/04/2018 00:00,32.77,89.72,49.43,3.2
30/04/2018 00:00,40.51,114.84,57.02,4.41
01/05/2018 00:00,38.55,129.9,42.29,3.05
02/05/2018 00:00,34.17,87.56,43.24,3.34
03/05/2018 00:00,30.89,74.33,36.81,3.21
04/05/2018 00:00,15.08,35.24,40.78,3.12
05/05/2018 00:00,37.84,55.49,38.91,4.48
06/05/2018 00:00,30.04,68.06,40.7,3.18
07/05/2018 00:00,33.6,87.83,47.09,3.78
08/05/2018 00:00,39.38,110.33,54.19,3.6
09/05/2018 00:00,46.77,95.4,55.13,3.29
10/05/2018 00:00,34.72,71.74,45.37,3.4
11/05/2018 00:00,31.29,73.69,44.79,2.74
12/05/2018 00:00,31.26,67.78,44.25,2.49
13/05/2018 00:00,33.28,70.82,47.92,2.92
14/05/2018 00:00,26.68,53.93,36.94,3.3
15/05/2018 00:00,22.8,39.31,38.72,3.47
16/05/2018 00:00,39.1,74.92,48.46,3.49
17/05/2018 00:00,36.77,83.74,48.54,5.68
18/05/2018 00:00,36.67,82.71,56.13,4.47
19/05/2018 00:00,58.96,166.54,61.15,5.18
20/05/2018 00:00,42.77,120.75,42.52,3.21
21/05/2018 00:00,58.11,145.66,49.24,3.64
22/05/2018 00:00,56.41,122.51,46.09,2.8
23/05/2018 00:00,58.19,133.83,64.73,5.54
24/05/2018 00:00,35.35,87.49,43.06,3.95
25/05/2018 00:00,44.7,112.53,43.26,4.08
26/05/2018 00:00,21.4,57.45,34.06,2.37
27/05/2018 00:00,25.5,68.5,41.42,4.42
28/05/2018 00:00,29.2,65.24,36.92,2.68
29/05/2018 00:00,37.88,97.82,48.08,3.87
30/05/2018 00:00,31.42,77.35,41.3,3.47
31/05/2018 00:00,29.22,70.17,39.81,3.04
01/06/2018 00:00,32.68,59.22,45.98,3.75
02/06/2018 00:00,33.69,59.11,48.52,3.89
03/06/2018 00:00,30.5,57.72,44.73,2.53
04/06/2018 00:00,26.85,55.04,37.56,6.99
05/06/2018 00:00,30.37,62.51,43.5,0.95
06/06/2018 00:00,21.04,56.61,39.75,None
07/06/2018 00:00,11.47,24.02,37.73,3.05
08/06/2018 00:00,17.69,35.78,43.19,3.34
09/06/2018 00:00,19.93,49.4,45.15,4.23
10/06/2018 00:00,14.11,27.09,38.44,2.18
11/06/2018 00:00,20.68,52.52,45.6,1.94
12/06/2018 00:00,30.81,94.81,33.52,1.82
13/06/2018 00:00,27.97,80.15,34.71,2.73
14/06/2018 00:00,28.74,83.34,43.03,1.82
15/06/2018 00:00,27.88,82.47,35.1,5.56
16/06/2018 00:00,22.74,58.86,45.49,3.47
17/06/2018 00:00,18.2,52.18,35.5,2.75
18/06/2018 00:00,16.35,50.59,36.51,2.73
19/06/2018 00:00,10.58,28.81,40.25,3.32
20/06/2018 00:00,6.41,21.34,41.27,3.11
21/06/2018 00:00,8.71,30.98,44.33,3.41
22/06/2018 00:00,20.34,45.93,51.66,2.94
23/06/2018 00:00,13.32,26.41,46.14,2.86
24/06/2018 00:00,14.61,33.78,41.58,1.82
25/06/2018 00:00,16.31,37.26,48.95,2.42
26/06/2018 00:00,14.86,39.59,59.19,2.98
27/06/2018 00:00,14.57,44.18,61.42,1.73
28/06/2018 00:00,15.7,45.62,51.09,3.55
29/06/2018 00:00,14.54,53.04,62.39,2.5
30/06/2018 00:00,17.46,46.73,70.9,2.44
01/07/2018 00:00,11.5,32.66,73.06,3.21
02/07/2018 00:00,10.99,30.45,60.78,2.73
03/07/2018 00:00,13.24,35.57,59.19,3.24
04/07/2018 00:00,13.39,52.64,54.85,2.36
05/07/2018 00:00,10.03,30.15,58.27,3.34
06/07/2018 00:00,16.57,50.07,65.9,5.23
07/07/2018 00:00,18.92,43.81,67.82,2.46
08/07/2018 00:00,12.81,31.76,62.44,2.66
09/07/2018 00:00,13.29,31.83,57.83,1.97
10/07/2018 00:00,15.54,40.06,54.77,2.96
11/07/2018 00:00,18.07,43.12,56.1,3.4
12/07/2018 00:00,8.66,14.57,59.78,4.25
13/07/2018 00:00,10.21,23.31,51.49,1.85
14/07/2018 00:00,14.29,38.41,63.12,2.49
15/07/2018 00:00,13.04,33.84,55.77,2.54
16/07/2018 00:00,7.44,18.94,46.84,10.34
17/07/2018 00:00,10.46,25.88,55.71,2.38
18/07/2018 00:00,12.02,37.76,60.92,3.24
19/07/2018 00:00,10.11,32.07,54.92,2.84
20/07/2018 00:00,8.33,24.93,55.47,2.98
21/07/2018 00:00,15.78,46.38,60.55,2.67
22/07/2018 00:00,14.44,42.5,57.3,3.14
23/07/2018 00:00,16.66,40.67,58.24,2.71
24/07/2018 00:00,12.96,38.75,59.72,2.39
25/07/2018 00:00,14.27,43.52,54.01,2.97
26/07/2018 00:00,11.14,32.92,54.52,7.81
27/07/2018 00:00,12.02,37.33,73.04,8.66
28/07/2018 00:00,16.68,56.08,74.23,3.62
29/07/2018 00:00,18.14,53.59,72.69,1.28
30/07/2018 00:00,20.71,66.83,74.29,0.98
31/07/2018 00:00,15.1,56.02,74.21,2.28
01/08/2018 00:00,20.51,72.2,77.07,2.83
02/08/2018 00:00,25.42,80.23,78.22,2.28
03/08/2018 00:00,26.53,93.36,83.87,4.07
04/08/2018 00:00,20.39,60.34,74.61,2.71
05/08/2018 00:00,15.51,50.57,76.57,2.66
06/08/2018 00:00,33.22,51.41,69.52,3.54
07/08/2018 00:00,16.76,54.22,76.25,3.01
08/08/2018 00:00,11.57,41.19,80.15,2.83
09/08/2018 00:00,12.78,42.19,85.4,3.17
10/08/2018 00:00,14.81,45.33,79.7,1.96
11/08/2018 00:00,11.1,24.99,76.83,3.46
12/08/2018 00:00,3.79,25.31,67.37,1.92
13/08/2018 00:00,11.73,23.47,65.07,3.63
14/08/2018 00:00,16.07,48.55,80.94,1.38
15/08/2018 00:00,16.09,43,58.91,18.69
16/08/2018 00:00,4.8,12.03,62.74,1.76
17/08/2018 00:00,16.54,42.81,64.07,2.86
18/08/2018 00:00,5.84,31.6,59.61,6.86
19/08/2018 00:00,8.38,23.18,77.9,3.85
20/08/2018 00:00,6.73,20.12,67.18,1.92
21/08/2018 00:00,7.16,19,59.57,3.42
22/08/2018 00:00,7.09,27.2,69.16,4.98
23/08/2018 00:00,6.97,28.31,76.73,2.63
24/08/2018 00:00,10.66,44.05,75.03,2.73
25/08/2018 00:00,9.72,45.14,78.65,1.98
26/08/2018 00:00,8.18,28.82,78.89,2.08
27/08/2018 00:00,7.62,26.7,85.26,3.25
28/08/2018 00:00,13.73,44.42,84.95,3.09
29/08/2018 00:00,15.95,64.03,74.95,3.76
30/08/2018 00:00,27.57,105.66,74.87,20.91
31/08/2018 00:00,23.32,99.48,76.17,5.86
01/09/2018 00:00,19.68,81.82,69.26,7.03
02/09/2018 00:00,11.97,43.31,68.29,2.82
03/09/2018 00:00,9.23,38.26,62.98,3.78
04/09/2018 00:00,20.52,85.05,69.69,6.83
05/09/2018 00:00,25.53,102.19,74.98,7.09
06/09/2018 00:00,29.34,102.09,70.33,4.95
07/09/2018 00:00,21.49,77.25,67.3,5.06
08/09/2018 00:00,None,None,None,None
09/09/2018 00:00,None,None,None,None
10/09/2018 00:00,35.2,108.95,80.32,4.16
