From Date,PM2.5,PM10,NO2,SO2
01/01/2018 00:00,56.32,115.46,43.99,15.59
02/01/2018 00:00,64.01,119.89,33.24,9.19
03/01/2018 00:00,73.7,140.86,33.8,9.87
04/01/2018 00:00,76.6,155.77,35.73,14.89
05/01/2018 00:00,74.92,159.18,37.6,14.38
06/01/2018 00:00,71.8,137.22,46.02,15.46
07/01/2018 00:00,70.45,137.1,49.46,15.8
08/01/2018 00:00,73.7,136.38,34.11,8.58
09/01/2018 00:00,77.13,156.33,39.63,13.98
10/01/2018 00:00,72.62,151.79,38.12,13.92
11/01/2018 00:00,70.54,140.29,34.75,13.92
12/01/2018 00:00,71.67,148.34,45.23,24.88
13/01/2018 00:00,64.64,137.9,32.77,28.04
14/01/2018 00:00,66.05,114.01,26.45,17.24
15/01/2018 00:00,71.74,112.01,19.64,9.73
16/01/2018 00:00,60.09,115.73,27.44,11.07
17/01/2018 00:00,63.61,121.85,29.36,12.93
18/01/2018 00:00,62.99,137.34,51.2,17.68
19/01/2018 00:00,53.91,126.92,38.93,20.22
20/01/2018 00:00,58.31,130.04,47.76,25.86
21/01/2018 00:00,65.01,137.39,39.04,18.66
22/01/2018 00:00,70.12,149.1,38.94,11.33
23/01/2018 00:00,66.37,135.02,35.79,8.36
24/01/2018 00:00,66.05,136.33,29.18,15.37
25/01/2018 00:00,64.09,155.62,31.16,22.35
26/01/2018 00:00,63.89,156.63,31.98,20.91
27/01/2018 00:00,67.53,157.28,38.94,16.53
28/01/2018 00:00,74.05,154.86,32.25,12.54
29/01/2018 00:00,70.22,150.94,32.56,10.17
30/01/2018 00:00,53.45,140.64,34.46,18.24
31/01/2018 00:00,44.71,121.15,32.94,20.26
01/02/2018 00:00,50.27,135.5,58.35,34.26
02/02/2018 00:00,43.08,121.65,50.19,25.43
03/02/2018 00:00,47.93,135.98,40.14,10.5
04/02/2018 00:00,44.43,125.4,31.37,11.93
05/02/2018 00:00,45.11,126.23,30.62,8.46
06/02/2018 00:00,51.29,145.85,45.12,18.18
07/02/2018 00:00,59.12,144.68,42.23,23.46
08/02/2018 00:00,51.32,124.01,60.87,32.94
09/02/2018 00:00,57.65,146.19,50.54,23.34
10/02/2018 00:00,55.29,127.07,38.36,14.32
11/02/2018 00:00,46.91,99.46,18.02,6.24
12/02/2018 00:00,52.98,96.73,18.04,4.86
13/02/2018 00:00,49.76,86.48,17.29,4.47
14/02/2018 00:00,55.84,111.62,27.49,8.05
15/02/2018 00:00,47.42,99.09,24.18,11.87
16/02/2018 00:00,45.73,103.8,28.67,18.59
17/02/2018 00:00,44.02,103.32,34.56,24.43
18/02/2018 00:00,58.19,119.56,33.18,13.82
19/02/2018 00:00,52.48,112.91,33.43,9.69
20/02/2018 00:00,47.1,102,25.78,6.53
21/02/2018 00:00,59.39,131.78,35.97,7.06
22/02/2018 00:00,62.31,144.51,38.27,5.55
23/02/2018 00:00,59.8,139.27,31.05,8.11
24/02/2018 00:00,47.5,120.85,33.29,8.03
25/02/2018 00:00,43.47,110.59,30.81,7.91
26/02/2018 00:00,53.25,130.75,59.41,9.7
27/02/2018 00:00,57.63,132.98,58.75,16.03
28/02/2018 00:00,62.32,136.21,57.66,11.16
01/03/2018 00:00,60.9,146.14,66.39,16.52
02/03/2018 00:00,61.41,140.13,62.1,14.7
03/03/2018 00:00,62.51,144.05,46.86,16.33
04/03/2018 00:00,62.84,142.39,47.43,12.23
05/03/2018 00:00,55.06,126.83,42.01,9.74
06/03/2018 00:00,53.39,117.18,31.23,12.12
07/03/2018 00:00,51.63,112.55,29.38,8.59
08/03/2018 00:00,55.31,125.11,38.1,7.4
09/03/2018 00:00,61.31,128.64,32.16,7.78
10/03/2018 00:00,71.84,150.81,39.59,9.42
11/03/2018 00:00,55.35,113.69,21.77,7.25
12/03/2018 00:00,41.25,95.08,26.99,5.41
13/03/2018 00:00,45.41,101.76,28.31,6.41
14/03/2018 00:00,55.47,121.1,37.83,8.83
15/03/2018 00:00,55.37,136.56,31.22,15.46
16/03/2018 00:00,59.43,112.34,17.05,14.87
17/03/2018 00:00,52.69,77.57,17.04,5.69
18/03/2018 00:00,41.68,73.06,17.48,4.92
19/03/2018 00:00,51.47,104.27,29.79,5.21
20/03/2018 00:00,60.51,117.44,34.21,8.26
21/03/2018 00:00,64.15,137.04,34.21,19.77
22/03/2018 00:00,55.62,139.3,34.05,20.1
23/03/2018 00:00,57.12,146.85,36.91,17.94
24/03/2018 00:00,59.91,147.78,42.43,26.5
25/03/2018 00:00,74.95,148.97,29.44,10.57
26/03/2018 00:00,66.31,133.87,26.75,7.25
27/03/2018 00:00,67.12,150.37,38.02,12.19
28/03/2018 00:00,59.96,134.9,32.61,10.76
29/03/2018 00:00,66.88,151.23,36.28,9.89
30/03/2018 00:00,65.96,136.27,32.46,13.45
31/03/2018 00:00,None,None,None,None
01/04/2018 00:00,None,None,None,None
02/04/2018 00:00,None,None,None,None
03/04/2018 00:00,None,None,None,None
04/04/2018 00:00,None,None,None,None
05/04/2018 00:00,None,None,None,None
06/04/2018 00:00,39.49,109.73,19.24,6.44
07/04/2018 00:00,37.03,88.9,34.1,11.83
08/04/2018 00:00,34.71,72.18,22.4,6.22
09/04/2018 00:00,45.56,111.89,33.06,8.09
10/04/2018 00:00,37.45,98.55,29.03,5.01
11/04/2018 00:00,32.58,82.01,23.53,7.93
12/04/2018 00:00,42.24,106.25,30.16,8.96
13/04/2018 00:00,28.17,75.21,22.78,4.56
14/04/2018 00:00,27.9,77.75,24.43,4.74
15/04/2018 00:00,33.88,78.78,23.92,8.76
16/04/2018 00:00,49.66,116.99,33.03,12.87
17/04/2018 00:00,38.31,97.84,30.11,7.42
18/04/2018 00:00,56.46,142.52,32.58,22.84
19/04/2018 00:00,53.32,143.71,44.92,16.33
20/04/2018 00:00,49.7,139.06,36.14,12.42
21/04/2018 00:00,49.67,134.82,35.71,9.59
22/04/2018 00:00,47.56,127.29,29.71,7.94
23/04/2018 00:00,36.52,101.51,22.21,5.92
24/04/2018 00:00,42.35,127.3,25.37,12.75
25/04/2018 00:00,37.96,98.91,17.89,5.09
26/04/2018 00:00,45.15,126.28,35.25,6.65
27/04/2018 00:00,42.59,105.87,22.52,5.65
28/04/2018 00:00,39.2,106.62,24.7,6.7
29/04/2018 00:00,39.16,114.24,18.73,7.4
30/04/2018 00:00,46.91,127.11,31.94,14.57
01/05/2018 00:00,48.43,141.22,21.77,7.4
02/05/2018 00:00,39.75,106.28,24.91,3.82
03/05/2018 00:00,33.2,98.8,18.02,3.9
04/05/2018 00:00,23.62,76.19,27.03,8.35
05/05/2018 00:00,28.54,85.81,22.34,4.63
06/05/2018 00:00,36.78,102.09,26.35,6.58
07/05/2018 00:00,34.95,112.58,18.69,9.74
08/05/2018 00:00,50.02,129.32,33.87,13.2
09/05/2018 00:00,45.93,112.44,30.67,7.35
10/05/2018 00:00,31.11,68.13,15.06,5.14
11/05/2018 00:00,35.53,102.19,21.63,6.02
12/05/2018 00:00,36.32,107.41,21.89,12.7
13/05/2018 00:00,37.54,102.38,27.94,10.06
14/05/2018 00:00,31.32,94.25,18.55,9.14
15/05/2018 00:00,26.23,58.15,15.81,4.37
16/05/2018 00:00,46.55,119.78,27.7,6.56
17/05/2018 00:00,54.24,140.09,42.36,11.3
18/05/2018 00:00,46.84,124.99,31.6,9.96
19/05/2018 00:00,53.11,165.91,30.04,12.93
20/05/2018 00:00,None,None,None,None
21/05/2018 00:00,51.85,158.92,18.24,5.61
22/05/2018 00:00,47.56,131.09,20.94,9.03
23/05/2018 00:00,49.59,131.85,22.38,4.27
24/05/2018 00:00,41.88,112.74,25.83,6.32
25/05/2018 00:00,43.9,111.05,21.93,5.99
26/05/2018 00:00,25.26,82.48,17.66,3.04
27/05/2018 00:00,29.74,78.89,15.5,3.86
28/05/2018 00:00,33.68,93.47,18.37,4.15
29/05/2018 00:00,36.46,106.59,19.69,6.11
30/05/2018 00:00,39.92,114.04,26.94,7.53
31/05/2018 00:00,36.4,105.27,20.07,7.26
01/06/2018 00:00,48.56,118.55,28.51,8.28
02/06/2018 00:00,49.18,101.52,37.92,8.6
03/06/2018 00:00,43.31,105.23,32.91,12.35
04/06/2018 00:00,42.95,100.19,30.58,8.35
05/06/2018 00:00,38.4,98.73,32.87,7.67
06/06/2018 00:00,45.4,104.42,38.54,9.02
07/06/2018 00:00,24.25,62.44,20.36,13.18
08/06/2018 00:00,23.44,53.64,18.14,8.74
09/06/2018 00:00,27.21,65.5,22.47,7.81
10/06/2018 00:00,20.16,51.4,17.55,8.16
11/06/2018 00:00,28.65,80.94,21.69,9.51
12/06/2018 00:00,34.25,105.31,27.66,10.42
13/06/2018 00:00,45.67,135.3,21.8,10.07
14/06/2018 00:00,57.42,120.66,25.29,9.3
15/06/2018 00:00,33.03,117.97,21.34,12.01
16/06/2018 00:00,24.99,88.85,15.87,10.02
17/06/2018 00:00,27.26,91.23,15.77,10.58
18/06/2018 00:00,17.36,66.8,15.13,10.47
19/06/2018 00:00,12.53,45.55,16.46,8.59
20/06/2018 00:00,10.95,52.23,22.83,8.85
21/06/2018 00:00,12.47,59.94,18.43,8.21
22/06/2018 00:00,26.75,61.38,23.73,5.44
23/06/2018 00:00,32.7,64.62,23.9,8.53
24/06/2018 00:00,20.51,57.44,20.29,9.43
25/06/2018 00:00,19.31,62.56,17.84,10.46
26/06/2018 00:00,17.28,57.51,18.4,8.81
27/06/2018 00:00,17.68,62.1,19.43,8.2
28/06/2018 00:00,20.43,68.85,18.97,10.11
29/06/2018 00:00,22.32,84.38,15.89,13.85
30/06/2018 00:00,24.76,84.98,17.79,12.32
01/07/2018 00:00,20.26,67.41,19.2,11.64
02/07/2018 00:00,19,65.08,17.12,11.34
03/07/2018 00:00,18.58,62.81,17.41,8.69
04/07/2018 00:00,16.71,79.06,16.42,8.9
05/07/2018 00:00,18.81,69.12,19.09,9.65
06/07/2018 00:00,30.29,72.67,22.92,7.39
